SchoolYear,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,MISTEM_NAME,MISTEM_CODE,Subgroup,MathPercentReady,MathNumAssessed,MathScoreAverage,MathCountReady,ReadingPercentReady,ReadingNumAssessed,ReadingScoreAverage,SciencePercentReady,ScienceNumAssessed,ScienceScoreAverage,EnglishPercentReady,EnglishNumAssessed,EnglishScoreAverage,AllSubjectPercentReady,AllSubjectNumAssessed,AllSubjectScoreAverage,AllCountReady,EBRWPercentReady,EBRWNumAssessed,EBRWScoreAverage,EBRWCountReady
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Not Military Connected","60.7000","885","570.1000","537","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","59.3000","883","1136.6000","524","79.3000","883","565.9000","700"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Students with Disabilities","13.0000","69","406.2000","9","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","10.1000","69","838.6000","7","30.4000","69","432.3000","21"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Students without IEP","64.7000","818","583.8000","529","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","63.5000","816","1161.8000","518","83.5000","816","577.2000","681"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Two or More Races","53.1000","32","539.1000","17","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","53.1000","32","1092.8000","17","87.5000","32","553.8000","28"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","White, not of Hispanic origin","49.6000","427","526.4000","212","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","48.4000","426","1063.4000","206","75.1000","426","536.2000","320"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","All Students","70.5000","502","604.0000","354","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","69.2000","500","1195.4000","346","85.8000","500","590.2000","429"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","American Indian or Alaska Native","*","<10","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","<10","*","*","*","<10","*","*"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Asian","91.6000","237","680.8000","217","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","89.0000","237","1323.1000","211",">=95%","237","642.3000","226"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Black, not of Hispanic origin","<=20%","25","464.4000","4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","<=20%","25","950.8000","4","56.0000","25","486.4000","14"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Economically Disadvantaged","34.0000","50","511.2000","17","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","34.0000","50","1036.8000","17","72.0000","50","525.6000","36"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","English Language Learners","40.9000","44","480.0000","18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","31.0000","42","945.2000","13","40.5000","42","455.7000","17"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Female","70.2000","225","603.5000","158","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","69.8000","225","1203.4000","157","88.0000","225","599.9000","198"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Foster Care","*","<10","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","<10","*","*","*","<10","*","*"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Hispanic","37.9000","29","505.9000","11","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","39.3000","28","1026.8000","11","60.7000","28","515.7000","17"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Homeless","*","<10","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","<10","*","*","*","<10","*","*"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Male","70.8000","277","604.4000","196","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","68.7000","275","1188.9000","189","84.0000","275","582.2000","231"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Military Connected","*","<10","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","<10","*","*","*","<10","*","*"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Not Economically Disadvantaged","74.6000","452","614.2000","337","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","73.1000","450","1213.1000","329","87.3000","450","597.3000","393"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Not English Language Learners","73.4000","458","615.9000","336","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","72.7000","458","1218.4000","333","90.0000","458","602.5000","412"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Not Foster Care","70.7000","501","604.4000","354","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","69.3000","499","1196.3000","346","86.0000","499","590.6000","429"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Not Homeless","70.7000","501","604.5000","354","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","69.3000","499","1196.4000","346","86.0000","499","590.6000","429"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Not Migrant","70.5000","502","604.0000","354","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","69.2000","500","1195.4000","346","85.8000","500","590.2000","429"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Not Military Connected","70.5000","501","603.8000","353","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","69.1000","499","1195.1000","345","85.8000","499","590.0000","428"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Students with Disabilities","20.0000","40","444.0000","8","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","15.0000","40","889.8000","6","35.0000","40","445.8000","14"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Students without IEP","74.9000","462","617.8000","346","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","73.9000","460","1222.0000","340","90.2000","460","602.7000","415"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Two or More Races","66.7000","18","577.2000","12","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","66.7000","18","1149.4000","12",">=80%","18","572.2000","16"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","White, not of Hispanic origin","57.1000","189","545.4000","108","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","56.4000","188","1099.7000","106","81.9000","188","552.4000","154"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","All Students","52.5000","343","541.2000","180","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","51.0000","343","1085.5000","175","74.1000","343","544.4000","254"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Asian","81.5000","81","635.3000","66","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","80.2000","81","1247.8000","65","91.4000","81","612.5000","74"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Black, not of Hispanic origin","22.7000","22","437.3000","5","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","22.7000","22","915.0000","5","40.9000","22","477.7000","9"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Economically Disadvantaged","26.2000","61","469.2000","16","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","26.2000","61","953.0000","16","54.1000","61","483.8000","33"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","English Language Learners","<=20%","22","433.2000","3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","<=20%","22","854.5000","3","31.8000","22","421.4000","7"
