year,grade,subject,group,n_advanced,n_proficient,n_partial,n_not_proficient,adv_plus_prof
2021-22,7,ELA,Non-SWD,230,334,155,95,564
2020-21,7,ELA,Non-SWD,124,154,62,24,278
2018-19,7,ELA,Non-SWD,305,391,150,74,696
2018-19,6,ELA,SWD,5,21,27,26,26
2018-19,6,ELA,Non-SWD,359,377,140,62,736
2020-21,6,ELA,SWD,,,5,3,
2020-21,6,ELA,Non-SWD,98,158,62,27,256
2021-22,6,ELA,SWD,,,19,41,
2021-22,6,ELA,Non-SWD,233,329,192,93,562
2022-23,6,ELA,SWD,,,16,36,
2022-23,6,ELA,Non-SWD,246,359,172,111,605
2023-24,6,ELA,SWD,4,14,11,35,18
2023-24,6,ELA,Non-SWD,283,317,193,103,600
