SchoolYear,TestType,IsdCode,IsdName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,Grade,Subject,Subgroup_1,Subgroup_2,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","EBRW","Hispanic","Students without IEP","56.7","30.0","<=20%","<=20%"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","EBRW","White, not of Hispanic origin","Students with Disabilities","28.1","14.0","12.3","45.6"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","EBRW","Asian","Students with Disabilities","<=50%","<=50%","<=50%","<=50%"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","EBRW","Male","Students without IEP","72.2","17.9","6.5","3.4"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","EBRW","White, not of Hispanic origin","English Learners","16.1","25.8","22.6","35.5"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","EBRW","American Indian or Alaska Native","Students without IEP","*","*","*","*"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","EBRW","White, not of Hispanic origin","Students without IEP","68.3","20.6","7.2","3.9"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","EBRW","Two or More Races","Male","68.4","<=20%","<=20%","<=20%"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","EBRW","Male","Not English Learners","72.2","14.9","5.6","7.3"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","EBRW","Female","English Learners","17.1","39.0","14.6","29.3"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","EBRW","Hispanic","Not English Learners","65.2","30.4","<=20%","<=20%"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","EBRW","Black, not of Hispanic origin","Students without IEP","40.0","35.0","<=10%","17.5"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","EBRW","Two or More Races","Female","68.4","21.1","<=20%","<=20%"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","EBRW","Students with Disabilities","Not English Learners","28.4","16.4","13.4","41.8"
