SchoolYear,TestType,IsdCode,IsdName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,Grade,Subject,Subgroup_1,Subgroup_2,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","Mathematics","Two or More Races","Female","26.3","36.8","26.3","<=20%"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","Mathematics","Asian","English Learners","36.2","25.5","27.7","10.6"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","Mathematics","Male","Students with Disabilities","<=10%","26.9","26.9","38.5"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","Mathematics","Hispanic","Not English Learners","30.4","39.1","26.1","<=20%"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","Mathematics","Male","Students without IEP","53.9","26.4","15.9","3.8"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","Mathematics","Black, not of Hispanic origin","Students with Disabilities","<=50%","<=50%","<=50%",">=50%"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","Mathematics","White, not of Hispanic origin","Female","31.6","38.5","23.3","6.5"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","Mathematics","Two or More Races","Students without IEP","40.0","28.6","28.6","<=10%"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","Mathematics","Male","English Learners","24.5","24.5","38.8","12.2"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","Mathematics","Black, not of Hispanic origin","Female","<=20%","<=20%","37.5","29.2"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","Mathematics","Asian","Female","68.1","21.6","7.0","<=5%"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","Mathematics","Asian","Students with Disabilities","<=50%","<=50%","<=50%","<=50%"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","Mathematics","White, not of Hispanic origin","Not English Learners","34.9","37.0","21.4","6.8"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","Mathematics","Asian","Male","75.8","16.3","6.8","<=5%"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","Mathematics","Hispanic","Male","35.0","25.0","25.0","<=20%"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","Mathematics","Two or More Races","Students with Disabilities","*","*","*","*"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","Mathematics","Hispanic","Female","<=50%","<=50%","<=50%","<=50%"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","8","Mathematics","White, not of Hispanic origin","Students without IEP","22.8","42.1","26.3","8.8"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","8","Mathematics","Female","English Learners","<=50%","<=50%","<=50%","<=50%"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","8","Mathematics","Two or More Races","Male","*","*","*","*"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","8","Mathematics","Two or More Races","Students without IEP","*","*","*","*"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","8","Mathematics","Black, not of Hispanic origin","Not English Learners","<=20%","<=20%","52.4","33.3"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","8","Mathematics","Male","English Learners","<=50%","<=50%",">=50%","<=50%"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","8","Mathematics","Hispanic","Students without IEP","*","*","*","*"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","8","Mathematics","Asian","Not English Learners","62.0","29.6","7.0","<=5%"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","8","Mathematics","Female","Students with Disabilities","*","*","*","*"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","8","Mathematics","Asian","Students with Disabilities","*","*","*","*"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","8","Mathematics","Asian","English Learners","<=50%","<=50%","<=50%","<=50%"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","8","Mathematics","Female","Not English Learners","32.2","33.9","25.6","8.3"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","8","Mathematics","Two or More Races","Not English Learners","<=50%","<=50%","<=50%","<=50%"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","8","Mathematics","Black, not of Hispanic origin","Male","<=50%","<=50%","<=50%","<=50%"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","8","Mathematics","Students without IEP","English Learners","<=20%","<=20%","45.0","35.0"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","8","Mathematics","Students with Disabilities","English Learners","*","*","*","*"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","8","Mathematics","White, not of Hispanic origin","Female","19.2","38.4","31.5","11.0"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","8","Mathematics","White, not of Hispanic origin","Not English Learners","22.4","40.5","25.9","11.2"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","8","Mathematics","Male","Students without IEP","34.3","37.3","20.6","7.8"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","8","Mathematics","Asian","Female","59.0","25.6","<=10%","<=10%"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","8","Mathematics","Female","Students without IEP","31.7","32.5","26.8","8.9"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","8","Mathematics","Asian","Students without IEP","57.0","26.6","11.4","5.1"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","8","Mathematics","Asian","Male","52.4","26.2","16.7","<=10%"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","8","Mathematics","White, not of Hispanic origin","English Learners","<=50%","<=50%","<=50%","<=50%"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","8","Mathematics","Students with Disabilities","Not English Learners","<=20%","<=20%","27.8","61.1"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","8","Mathematics","Two or More Races","Female","*","*","*","*"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","8","Mathematics","Hispanic","Male","*","*","*","*"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","8","Mathematics","Black, not of Hispanic origin","Female","<=50%","<=50%",">=50%","<=50%"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","8","Mathematics","Black, not of Hispanic origin","Students with Disabilities","*","*","*","*"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","8","Mathematics","White, not of Hispanic origin","Students with Disabilities","<=50%","<=50%","<=50%","<=50%"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","8","Mathematics","White, not of Hispanic origin","Male","21.8","40.0","21.8","16.4"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","8","Mathematics","Students without IEP","Not English Learners","35.6","36.6","22.0","5.9"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","8","Mathematics","Hispanic","Female","*","*","*","*"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","8","Mathematics","Male","Students with Disabilities","<=50%","<=50%","<=50%",">=50%"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","8","Mathematics","Black, not of Hispanic origin","Students without IEP","<=50%","<=50%",">=50%","<=50%"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","8","Mathematics","Two or More Races","Students with Disabilities","*","*","*","*"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","8","Mathematics","Male","Not English Learners","33.3","35.3","18.6","12.7"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","8","Mathematics","Hispanic","Not English Learners","*","*","*","*"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","8","Mathematics","Hispanic","English Learners","*","*","*","*"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","05413","Smith Middle School","63","Oakland","LEA School","Middle School","City: Small","8","Mathematics","Black, not of Hispanic origin","Male","*","*","*","*"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","05413","Smith Middle School","63","Oakland","LEA School","Middle School","City: Small","8","Mathematics","Male","English Learners","*","*","*","*"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","05413","Smith Middle School","63","Oakland","LEA School","Middle School","City: Small","8","Mathematics","Two or More Races","English Learners","*","*","*","*"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","05413","Smith Middle School","63","Oakland","LEA School","Middle School","City: Small","8","Mathematics","Students without IEP","Not English Learners","50.5","25.8","18.7","<=5%"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","05413","Smith Middle School","63","Oakland","LEA School","Middle School","City: Small","8","Mathematics","Male","Students with Disabilities","<=50%","<=50%","<=50%","<=50%"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","05413","Smith Middle School","63","Oakland","LEA School","Middle School","City: Small","8","Mathematics","Asian","Not English Learners","83.9","12.9","<=5%","<=5%"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","05413","Smith Middle School","63","Oakland","LEA School","Middle School","City: Small","8","Mathematics","Black, not of Hispanic origin","Students with Disabilities","*","*","*","*"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","05413","Smith Middle School","63","Oakland","LEA School","Middle School","City: Small","8","Mathematics","Students without IEP","English Learners","29.4","29.4","35.3","<=20%"
