SchoolYear,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,MISTEM_NAME,MISTEM_CODE,Subgroup,MathPercentReady,MathNumAssessed,MathScoreAverage,MathCountReady,ReadingPercentReady,ReadingNumAssessed,ReadingScoreAverage,SciencePercentReady,ScienceNumAssessed,ScienceScoreAverage,EnglishPercentReady,EnglishNumAssessed,EnglishScoreAverage,AllSubjectPercentReady,AllSubjectNumAssessed,AllSubjectScoreAverage,AllCountReady,EBRWPercentReady,EBRWNumAssessed,EBRWScoreAverage,EBRWCountReady
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Students without IEP","65.8000","846","587.9000","557","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","62.9000","846","1169.4000","532","79.2000","846","581.5000","670"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Two or More Races","52.8000","36","542.2000","19","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","50.0000","36","1092.2000","18","66.7000","36","550.0000","24"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","White, not of Hispanic origin","51.7000","472","530.9000","244","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","49.6000","472","1072.3000","234","71.8000","472","541.4000","339"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","All Students","70.6000","514","613.1000","363","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","67.3000","514","1213.4000","346","81.7000","514","600.3000","420"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","American Indian or Alaska Native","*","<10","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","<10","*","*","*","<10","*","*"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Asian","88.8000","240","691.8000","213","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","85.8000","240","1345.6000","206","92.1000","240","653.8000","221"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Black, not of Hispanic origin","<=20%","28","413.2000","<3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","<=20%","28","864.3000","<3","32.1000","28","451.1000","9"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Economically Disadvantaged","35.8000","67","505.2000","24","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","34.3000","67","1019.7000","23","56.7000","67","514.5000","38"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","English Language Learners","24.0000","25","465.6000","6","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","<=20%","25","894.4000","<3","<=20%","25","428.8000","5"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Female","65.7000","268","591.7000","176","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","64.2000","268","1191.3000","172","82.8000","268","599.6000","222"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Hispanic","72.7000","22","593.2000","16","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","59.1000","22","1152.7000","13","63.6000","22","559.5000","14"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Homeless","*","<10","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","<10","*","*","*","<10","*","*"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Male","76.0000","246","636.4000","187","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","70.7000","246","1237.5000","174","80.5000","246","601.1000","198"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Not Economically Disadvantaged","75.8000","447","629.3000","339","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","72.3000","447","1242.4000","323","85.5000","447","613.2000","382"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Not English Language Learners","73.0000","489","620.6000","357","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","70.6000","489","1229.7000","345","84.9000","489","609.1000","415"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Not Foster Care","70.6000","514","613.1000","363","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","67.3000","514","1213.4000","346","81.7000","514","600.3000","420"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Not Homeless","70.8000","513","613.5000","363","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","67.4000","513","1214.0000","346","81.7000","513","600.5000","419"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Not Migrant","70.6000","514","613.1000","363","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","67.3000","514","1213.4000","346","81.7000","514","600.3000","420"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Not Military Connected","70.6000","514","613.1000","363","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","67.3000","514","1213.4000","346","81.7000","514","600.3000","420"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Students with Disabilities","17.1000","35","438.9000","6","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","14.3000","35","897.4000","5","37.1000","35","458.6000","13"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Students without IEP","74.5000","479","625.8000","357","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","71.2000","479","1236.5000","341","85.0000","479","610.7000","407"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Two or More Races","57.9000","19","580.0000","11","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","57.9000","19","1159.5000","11","73.7000","19","579.5000","14"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","White, not of Hispanic origin","59.3000","204","554.1000","121","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","55.9000","204","1119.0000","114","79.4000","204","564.9000","162"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","All Students","53.5000","374","533.0000","200","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","51.1000","374","1071.8000","191","70.1000","374","538.8000","262"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","American Indian or Alaska Native","*","<10","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","<10","*","*","*","<10","*","*"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Asian","74.4000","78","589.9000","58","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","69.2000","78","1170.4000","54","76.9000","78","580.5000","60"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Black, not of Hispanic origin","26.3000","19","456.8000","5","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","21.1000","19","935.3000","4","57.9000","19","478.4000","11"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Economically Disadvantaged","28.6000","70","472.6000","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","25.7000","70","953.0000","18","51.4000","70","480.4000","36"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","English Language Learners","<=20%","20","419.5000","<3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","<=20%","20","846.0000","<3","<=20%","20","426.5000","4"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Female","49.7000","183","528.1000","91","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","48.6000","183","1072.6000","89","71.6000","183","544.4000","131"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Hispanic","37.5000","16","500.0000","6","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","37.5000","16","1017.5000","6","62.5000","16","517.5000","10"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Homeless","*","<10","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","<10","*","*","*","<10","*","*"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Male","57.1000","191","537.6000","109","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","53.4000","191","1071.0000","102","68.6000","191","533.4000","131"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Native Hawaiian or Other Pacific Islander","*","<10","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","<10","*","*","*","<10","*","*"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Not Economically Disadvantaged","59.2000","304","546.9000","180","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","56.9000","304","1099.1000","173","74.3000","304","552.2000","226"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Not English Language Learners","55.9000","354","539.4000","198","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","53.7000","354","1084.5000","190","72.9000","354","545.1000","258"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Not Foster Care","53.5000","374","533.0000","200","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","51.1000","374","1071.8000","191","70.1000","374","538.8000","262"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Not Homeless","53.8000","372","533.5000","200","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","51.3000","372","1072.9000","191","70.2000","372","539.4000","261"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Not Migrant","53.5000","374","533.0000","200","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","51.1000","374","1071.8000","191","70.1000","374","538.8000","262"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Not Military Connected","53.5000","374","533.0000","200","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","51.1000","374","1071.8000","191","70.1000","374","538.8000","262"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Students with Disabilities","<=10%","33","398.5000","3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","<=10%","33","825.8000","3","21.2000","33","427.3000","7"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Students without IEP","57.8000","341","546.0000","197","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","55.1000","341","1095.6000","188","74.8000","341","549.6000","255"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Two or More Races","47.1000","17","500.0000","8","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","41.2000","17","1017.1000","7","58.8000","17","517.1000","10"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","White, not of Hispanic origin","50.2000","241","524.4000","121","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","49.0000","241","1056.8000","118","70.1000","241","532.4000","169"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","08286","Troy College and Career High School","63","Oakland","LEA School","Middle_High School","City: Small","Oakland Region","         5","All Students","<=10%","31","427.7000","3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","<=10%","31","886.1000","3","32.3000","31","458.4000","10"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","08286","Troy College and Career High School","63","Oakland","LEA School","Middle_High School","City: Small","Oakland Region","         5","Asian","*","<10","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","<10","*","*","*","<10","*","*"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","08286","Troy College and Career High School","63","Oakland","LEA School","Middle_High School","City: Small","Oakland Region","         5","Black, not of Hispanic origin","*","<10","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","<10","*","*","*","<10","*","*"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","08286","Troy College and Career High School","63","Oakland","LEA School","Middle_High School","City: Small","Oakland Region","         5","Economically Disadvantaged","<=50%","10","370.0000","<3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","<=50%","10","790.0000","<3","<=50%","10","420.0000","<3"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","08286","Troy College and Career High School","63","Oakland","LEA School","Middle_High School","City: Small","Oakland Region","         5","English Language Learners","*","<10","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","<10","*","*","*","<10","*","*"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","08286","Troy College and Career High School","63","Oakland","LEA School","Middle_High School","City: Small","Oakland Region","         5","Female","<=50%","11","395.5000","<3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","<=50%","11","868.2000","<3","<=50%","11","472.7000","5"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","08286","Troy College and Career High School","63","Oakland","LEA School","Middle_High School","City: Small","Oakland Region","         5","Hispanic","*","<10","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","<10","*","*","*","<10","*","*"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","08286","Troy College and Career High School","63","Oakland","LEA School","Middle_High School","City: Small","Oakland Region","         5","Male","<=20%","20","445.5000","3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","<=20%","20","896.0000","3","25.0000","20","450.5000","5"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","08286","Troy College and Career High School","63","Oakland","LEA School","Middle_High School","City: Small","Oakland Region","         5","Not Economically Disadvantaged","<=20%","21","455.2000","3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","<=20%","21","931.9000","3","38.1000","21","476.7000","8"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","08286","Troy College and Career High School","63","Oakland","LEA School","Middle_High School","City: Small","Oakland Region","         5","Not English Language Learners","<=20%","27","438.9000","3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","<=20%","27","905.9000","3","37.0000","27","467.0000","10"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","08286","Troy College and Career High School","63","Oakland","LEA School","Middle_High School","City: Small","Oakland Region","         5","Not Foster Care","<=10%","31","427.7000","3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","<=10%","31","886.1000","3","32.3000","31","458.4000","10"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","08286","Troy College and Career High School","63","Oakland","LEA School","Middle_High School","City: Small","Oakland Region","         5","Not Homeless","<=10%","31","427.7000","3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","<=10%","31","886.1000","3","32.3000","31","458.4000","10"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","08286","Troy College and Career High School","63","Oakland","LEA School","Middle_High School","City: Small","Oakland Region","         5","Not Migrant","<=10%","31","427.7000","3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","<=10%","31","886.1000","3","32.3000","31","458.4000","10"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","08286","Troy College and Career High School","63","Oakland","LEA School","Middle_High School","City: Small","Oakland Region","         5","Not Military Connected","<=10%","31","427.7000","3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","<=10%","31","886.1000","3","32.3000","31","458.4000","10"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","08286","Troy College and Career High School","63","Oakland","LEA School","Middle_High School","City: Small","Oakland Region","         5","Students with Disabilities","*","<10","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","<10","*","*","*","<10","*","*"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","08286","Troy College and Career High School","63","Oakland","LEA School","Middle_High School","City: Small","Oakland Region","         5","Students without IEP","<=20%","26","437.3000","3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","<=20%","26","901.2000","3","30.8000","26","463.8000","8"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","08286","Troy College and Career High School","63","Oakland","LEA School","Middle_High School","City: Small","Oakland Region","         5","White, not of Hispanic origin","<=20%","27","413.3000","<3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","<=20%","27","857.4000","<3","29.6000","27","444.1000","8"
