SchoolYear,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,MISTEM_NAME,MISTEM_CODE,Subgroup,MathPercentReady,MathNumAssessed,MathScoreAverage,MathCountReady,ReadingPercentReady,ReadingNumAssessed,ReadingScoreAverage,SciencePercentReady,ScienceNumAssessed,ScienceScoreAverage,EnglishPercentReady,EnglishNumAssessed,EnglishScoreAverage,AllSubjectPercentReady,AllSubjectNumAssessed,AllSubjectScoreAverage,AllCountReady,EBRWPercentReady,EBRWNumAssessed,EBRWScoreAverage,EBRWCountReady
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Two or More Races","62.5000","32","590.3000","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","62.5000","32","1160.3000","20","84.4000","32","570.0000","27"
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","White, not of Hispanic origin","58.7000","378","562.8000","222","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","56.6000","378","1118.0000","214","79.1000","378","555.3000","299"
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","All Students","76.8000","414","630.9000","318","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","74.9000","414","1232.5000","310","87.4000","414","601.6000","362"
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Asian","94.1000","186","697.7000","175","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","93.0000","186","1345.6000","173",">=95%","186","647.9000","179"
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Black, not of Hispanic origin",">=50%","13","546.9000","7","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","<=50%","13","1090.8000","6",">=50%","13","543.8000","8"
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Economically Disadvantaged","56.8000","44","563.6000","25","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","52.3000","44","1111.8000","23","79.5000","44","548.2000","35"
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","English Language Learners","37.5000","24","511.7000","9","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","29.2000","24","999.6000","7","54.2000","24","487.9000","13"
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Female","74.2000","213","617.9000","158","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","72.8000","213","1219.1000","155","85.9000","213","601.1000","183"
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Hispanic","52.6000","19","548.9000","10","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","52.6000","19","1092.6000","10","78.9000","19","543.7000","15"
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Male","79.6000","201","644.7000","160","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","77.1000","201","1246.8000","155","89.1000","201","602.1000","179"
