SchoolYear,TestType,TestPopulation,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,MISTEM_NAME,MISTEM_CODE,GradeContentTested,Subject,ReportCategory,TotalAdvanced,TotalProficient,TotalPartiallyProficient,TotalNotProficient,TotalSurpassed,TotalAttained,TotalEmergingTowards,TotalMet,TotalDidNotMeet,NumberAssessed,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient,PercentSurpassed,PercentAttained,PercentEmergingTowards,PercentMet,PercentDidNotMeet,AvgSS,StdDevSS,MeanPtsEarned,MinScaleScore,MaxScaleScore,ScaleScore25,ScaleScore50,ScaleScore75
"20 - 21 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Science","White","<3","*","21","20","N/A","N/A","N/A","14","41","55","<=10%","*","38.2","36.4","N/A","N/A","N/A","25.50","74.50","2080.4000000000000000","25.9000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"20 - 21 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Science","Two or More Races","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"20 - 21 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Science","Asian","<3","*","23","15","N/A","N/A","N/A","22","38","60","<=10%","*","38.3","25.0","N/A","N/A","N/A","36.70","63.30","2091.3000000000000000","25.0000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"20 - 21 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Science","Male","<3","*","33","17","N/A","N/A","N/A","21","50","71","<=5%","*","46.5","23.9","N/A","N/A","N/A","29.60","70.40","2087.6000000000000000","24.7000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"20 - 21 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Science","Female","<3","*","21","20","N/A","N/A","N/A","20","41","61","<=5%","*","34.4","32.8","N/A","N/A","N/A","32.80","67.20","2085.8000000000000000","24.9000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"20 - 21 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Science","English Learners","<3","*","*","*","N/A","N/A","N/A","<3","*","11","<=50%","<=50%","<=50%",">=50%","N/A","N/A","N/A","<=50%",">=50%","2072.2000000000000000","15.7000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"20 - 21 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Science","Not English Learners","3","37","50","31","N/A","N/A","N/A","40","81","121","<=5%","*","41.3","25.6","N/A","N/A","N/A","33.10","66.90","2088.1000000000000000","25.0000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"20 - 21 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Science","Students With Disabilities","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"20 - 21 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Social Studies","Students Without Disabilities","20","67","33","5","N/A","N/A","N/A","87","38","125","16.0","53.6","*","<=5%","N/A","N/A","N/A","69.60","30.40","2109.4000000000000000","23.5000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"20 - 21 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Social Studies","Hispanic of Any Race","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"20 - 21 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Social Studies","Black or African American","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"20 - 21 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Social Studies","Not Economically Disadvantaged","20","65","27","5","N/A","N/A","N/A","85","32","117","17.1","55.6","*","<=5%","N/A","N/A","N/A","72.60","27.40","2111.0000000000000000","23.1000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"20 - 21 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Social Studies","Economically Disadvantaged","<3","*","*","<3","N/A","N/A","N/A","3","10","13","<=50%","<=50%",">=50%","<=50%","N/A","N/A","N/A","<=50%",">=50%","2086.8000000000000000","17.6000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"20 - 21 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Social Studies","All Students","20","68","36","6","N/A","N/A","N/A","88","42","130","15.4","52.3","*","<=5%","N/A","N/A","N/A","67.70","32.30","2108.6000000000000000","23.7000000000000000","N/A","2060","2168","2092.00","2112.00","2126.00"
"20 - 21 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","11","Social Studies","Not English Learners","11","46","*","<3","N/A","N/A","N/A","57","17","74","14.9","62.2","*","<=5%","N/A","N/A","N/A","77.00","23.00","2112.2000000000000000","21.3000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"20 - 21 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","11","Social Studies","English Learners","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"20 - 21 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","11","Social Studies","Female","3","26","*","<3","N/A","N/A","N/A","29","13","42","<=10%","*","*","<=10%","N/A","N/A","N/A","69.00","31.00","2106.7000000000000000","21.5000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"20 - 21 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","11","Social Studies","Male","9","23","*","<3","N/A","N/A","N/A","32","9","41","22.0","56.1","*","<=10%","N/A","N/A","N/A","78.00","22.00","2115.1000000000000000","21.7000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"20 - 21 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","11","Social Studies","Asian","8","19","*","<3","N/A","N/A","N/A","27","15","42","19.0","45.2","*","<=10%","N/A","N/A","N/A","64.30","35.70","2111.0000000000000000","22.0000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"20 - 21 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","11","Social Studies","Two or More Races","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"20 - 21 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","11","Social Studies","White","3","18","*","<3","N/A","N/A","N/A","21","7","28","<=20%","*","<=20%","<=20%","N/A","N/A","N/A","75.00","25.00","2105.6000000000000000","23.0000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"20 - 21 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","11","Social Studies","Hispanic of Any Race","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"20 - 21 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","11","Social Studies","Black or African American","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"20 - 21 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","11","Social Studies","Not Economically Disadvantaged","12","47","*","<3","N/A","N/A","N/A","59","17","76","15.8","61.8","*","<=5%","N/A","N/A","N/A","77.60","22.40","2112.8000000000000000","21.2000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"20 - 21 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","11","Social Studies","Economically Disadvantaged","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"20 - 21 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","11","Social Studies","All Students","12","49","*","<3","N/A","N/A","N/A","61","22","83","14.5","59.0","*","<=5%","N/A","N/A","N/A","73.50","26.50","2110.8000000000000000","22.0000000000000000","N/A","2060","2168","2097.00","2115.00","2126.00"
"20 - 21 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","11","Social Studies","Students Without Disabilities","12","49","*","<3","N/A","N/A","N/A","61","22","83","14.5","59.0","*","<=5%","N/A","N/A","N/A","73.50","26.50","2110.8000000000000000","22.0000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"20 - 21 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","11","Science","Students With Disabilities","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"20 - 21 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","11","Science","Not English Learners","<3","*","32","17","N/A","N/A","N/A","26","49","75","<=5%","*","42.7","22.7","N/A","N/A","N/A","34.70","65.30","2090.4000000000000000","22.0000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"20 - 21 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","11","Science","English Learners","<3","*","*","*","N/A","N/A","N/A","<3","*","10","<=50%","<=50%","<=50%","<=50%","N/A","N/A","N/A","<=50%",">=50%","2074.1000000000000000","15.2000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"20 - 21 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","11","Science","Female","<3","*","17","14","N/A","N/A","N/A","12","31","43","<=10%","*","39.5","32.6","N/A","N/A","N/A","27.90","72.10","2084.2000000000000000","21.2000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"20 - 21 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","11","Science","Male","<3","*","19","8","N/A","N/A","N/A","15","27","42","<=10%","*","45.2","19.0","N/A","N/A","N/A","35.70","64.30","2092.9000000000000000","21.9000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"20 - 21 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","11","Science","Asian","<3","*","16","11","N/A","N/A","N/A","16","27","43","<=10%","*","37.2","25.6","N/A","N/A","N/A","37.20","62.80","2091.3000000000000000","21.9000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"20 - 21 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","11","Science","Two or More Races","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"20 - 21 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","11","Science","White","<3","*","12","10","N/A","N/A","N/A","7","22","29","<=20%","*","41.4","34.5","N/A","N/A","N/A","24.10","75.90","2082.4000000000000000","23.9000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"20 - 21 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","11","Science","Hispanic of Any Race","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"20 - 21 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","11","Science","Black or African American","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"20 - 21 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","11","Science","Not Economically Disadvantaged","<3","*","35","17","N/A","N/A","N/A","26","52","78","<=5%","*","44.9","21.8","N/A","N/A","N/A","33.30","66.70","2090.5000000000000000","20.9000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"20 - 21 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","11","Science","Economically Disadvantaged","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"20 - 21 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","11","Science","All Students","<3","*","36","22","N/A","N/A","N/A","27","58","85","<=5%","*","42.4","25.9","N/A","N/A","N/A","31.80","68.20","2088.5000000000000000","22.0000000000000000","N/A","*","*","*","*","*"
"20 - 21 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","11","Science","Students Without Disabilities","<3","*","35","22","N/A","N/A","N/A","27","57","84","<=5%","*","41.7","26.2","N/A","N/A","N/A","32.10","67.90","2088.5000000000000000","22.1000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"20 - 21 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","11","Social Studies","Students With Disabilities","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"20 - 21 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","11","Social Studies","Not English Learners","7","19","16","3","N/A","N/A","N/A","26","19","45","15.6","42.2","*","<=10%","N/A","N/A","N/A","57.80","42.20","2104.8000000000000000","25.3000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"20 - 21 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","11","Social Studies","English Learners","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
