SchoolYear,IsdCode,IsdName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,MISTEM_NAME,MISTEM_CODE,Grade,Subject,Subgroup_1,Subgroup_2,PercentAssessed
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","All Grades","Mathematics","Native Hawaiian or Other Pacific Islander","Students without IEP","76.5"
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","All Grades","Mathematics","Native Hawaiian or Other Pacific Islander","Students with Disabilities","< 10"
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","All Grades","Mathematics","Native Hawaiian or Other Pacific Islander","Male","63.6"
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","All Grades","Mathematics","Native Hawaiian or Other Pacific Islander","Female","< 10"
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","All Grades","English Language Arts","Asian","Male","> 95"
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","All Grades","English Language Arts","Native Hawaiian or Other Pacific Islander","Students with Disabilities","< 10"
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","All Grades","English Language Arts","Hispanic","Students without IEP","> 95"
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","All Grades","English Language Arts","Hispanic","Students with Disabilities","> 95"
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","All Grades","Mathematics","American Indian or Alaska Native","Students without IEP","< 10"
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","All Grades","Mathematics","American Indian or Alaska Native","Students with Disabilities","< 10"
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","All Grades","Mathematics","American Indian or Alaska Native","Female","< 10"
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","All Grades","Mathematics","American Indian or Alaska Native","Male","< 10"
