SchoolYear,TestType,IsdCode,IsdName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,MISTEM_NAME,MISTEM_CODE,Grade,Subject,Subgroup_1,Subgroup_2,MathPercentProficient,MathPercentNotProficient
"22 - 23 School Year","SAT","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","5","11","Mathematics","White, not of Hispanic origin","Students with Disabilities","<=20%",">=80%"
"22 - 23 School Year","SAT","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","5","11","Mathematics","Native Hawaiian or Other Pacific Islander","Not English Learners","*","*"
"22 - 23 School Year","SAT","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","5","11","Mathematics","Asian","Students without IEP","94.1","5.9"
"22 - 23 School Year","SAT","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","5","11","Mathematics","Male","Students without IEP","79.0","21.0"
"22 - 23 School Year","SAT","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","5","11","Mathematics","Asian","Female","92.6","7.4"
"22 - 23 School Year","SAT","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","5","11","Mathematics","Native Hawaiian or Other Pacific Islander","Male","*","*"
"22 - 23 School Year","SAT","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","5","11","Mathematics","Two or More Races","Students without IEP",">=80%","<=20%"
"22 - 23 School Year","SAT","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","5","11","Mathematics","Hispanic","Male","<=50%",">=50%"
"22 - 23 School Year","SAT","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","5","11","Mathematics","Asian","Male","93.6","6.4"
"22 - 23 School Year","SAT","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","5","11","Mathematics","Female","Not English Learners","70.3","29.7"
"22 - 23 School Year","SAT","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","5","11","Mathematics","Students with Disabilities","Not English Learners","<=20%",">=80%"
"22 - 23 School Year","SAT","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","5","11","Mathematics","Students without IEP","Not English Learners","78.6","21.4"
"22 - 23 School Year","SAT","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","5","11","Mathematics","Female","English Learners","<=50%",">=50%"
"22 - 23 School Year","SAT","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","5","11","Mathematics","White, not of Hispanic origin","Female","54.2","45.8"
"22 - 23 School Year","SAT","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","5","11","Mathematics","Asian","Students with Disabilities","*","*"
"22 - 23 School Year","SAT","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","5","11","Mathematics","Asian","English Learners",">=50%","<=50%"
"22 - 23 School Year","SAT","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","5","11","Mathematics","American Indian or Alaska Native","Not English Learners","*","*"
"22 - 23 School Year","SAT","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","5","11","Mathematics","Hispanic","Not English Learners","64.7","35.3"
"22 - 23 School Year","SAT","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","5","11","Mathematics","Hispanic","Female","<=50%","<=50%"
"22 - 23 School Year","SAT","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","5","11","Mathematics","White, not of Hispanic origin","Not English Learners","61.6","38.4"
"22 - 23 School Year","SAT","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","5","11","Mathematics","Two or More Races","Male",">=50%","<=50%"
"22 - 23 School Year","SAT","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","5","11","Mathematics","White, not of Hispanic origin","English Learners","<=50%",">=50%"
"22 - 23 School Year","SAT","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","5","11","Mathematics","Female","Students without IEP","73.2","26.8"
"22 - 23 School Year","SAT","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","5","11","Mathematics","Two or More Races","Female","*","*"
"22 - 23 School Year","SAT","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","5","11","Mathematics","Black, not of Hispanic origin","Students without IEP","27.8","72.2"
"22 - 23 School Year","SAT","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","5","11","Mathematics","Students without IEP","English Learners","32.0","68.0"
"22 - 23 School Year","SAT","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","5","11","Mathematics","White, not of Hispanic origin","Students without IEP","64.3","35.7"
"22 - 23 School Year","SAT","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","5","11","Mathematics","Black, not of Hispanic origin","Students with Disabilities","*","*"
"22 - 23 School Year","SAT","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","5","11","Mathematics","Black, not of Hispanic origin","Not English Learners","25.0","75.0"
