SchoolYear,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,MISTEM_NAME,MISTEM_CODE,Subgroup,MathPercentReady,MathNumAssessed,MathScoreAverage,MathCountReady,ReadingPercentReady,ReadingNumAssessed,ReadingScoreAverage,SciencePercentReady,ScienceNumAssessed,ScienceScoreAverage,EnglishPercentReady,EnglishNumAssessed,EnglishScoreAverage,AllSubjectPercentReady,AllSubjectNumAssessed,AllSubjectScoreAverage,AllCountReady,EBRWPercentReady,EBRWNumAssessed,EBRWScoreAverage,EBRWCountReady
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Not Migrant","59.5000","953","565.9000","567","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","57.0000","952","1122.1000","543","77.3000","952","556.1000","736"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Not Military Connected","59.6000","952","566.0000","567","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","57.1000","951","1122.4000","543","77.4000","951","556.2000","736"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Students with Disabilities","11.1000","45","411.8000","5","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","<=10%","45","830.0000","4","22.2000","45","418.2000","10"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Students without IEP","61.9000","908","573.5000","562","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","59.4000","907","1136.6000","539","80.0000","907","562.9000","726"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Two or More Races","55.0000","40","546.8000","22","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","55.0000","40","1100.3000","22","82.5000","40","553.5000","33"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","White, not of Hispanic origin","48.1000","493","528.8000","237","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","45.2000","493","1064.1000","223","74.0000","493","535.3000","365"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","All Students","69.2000","532","598.3000","368","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","67.2000","531","1175.9000","357","82.5000","531","577.3000","438"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Asian","90.6000","235","675.5000","213","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","88.5000","235","1299.1000","208","90.6000","235","623.6000","213"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Black, not of Hispanic origin","<=20%","17","458.8000","3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","<=20%","17","928.8000","3","47.1000","17","470.0000","8"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Economically Disadvantaged","32.8000","61","498.0000","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","32.8000","61","992.5000","20","54.1000","61","494.4000","33"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","English Language Learners","27.3000","33","483.3000","9","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","21.9000","32","922.5000","7","37.5000","32","437.8000","12"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Female","66.8000","259","592.1000","173","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","66.0000","259","1175.4000","171","85.3000","259","583.2000","221"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Foster Care","*","<10","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","<10","*","*","*","<10","*","*"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Hispanic","47.4000","19","506.8000","9","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","44.4000","18","1015.6000","8","55.6000","18","505.0000","10"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Homeless","*","<10","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","<10","*","*","*","<10","*","*"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Male","71.4000","273","604.1000","195","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","68.4000","272","1176.4000","186","79.8000","272","571.7000","217"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Not Economically Disadvantaged","73.9000","471","611.3000","348","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","71.7000","470","1199.7000","337","86.2000","470","588.1000","405"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Not English Language Learners","71.9000","499","605.9000","359","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","70.1000","499","1192.1000","350","85.4000","499","586.3000","426"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Not Foster Care","69.3000","531","598.6000","368","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","67.4000","530","1176.6000","357","82.6000","530","577.6000","438"
