SchoolYear,TestType,IsdCode,IsdName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,MISTEM_NAME,MISTEM_CODE,Grade,Subject,Subgroup_1,Subgroup_2,EBRWPercentProficient,EBRWPercentNotProficient
"23 - 24 School Year","SAT","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","5","11","EBRW","Hispanic","Students without IEP",">=80%","<=20%"
"23 - 24 School Year","SAT","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","5","11","EBRW","White, not of Hispanic origin","Male","65.2","34.8"
"23 - 24 School Year","SAT","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","5","11","EBRW","Hispanic","Not English Learners","76.2","23.8"
"23 - 24 School Year","SAT","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","5","11","EBRW","Asian","Not English Learners","91.0","9.0"
"23 - 24 School Year","SAT","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","5","11","EBRW","Students with Disabilities","Not English Learners","<=20%",">=80%"
"23 - 24 School Year","SAT","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","5","11","EBRW","Hispanic","Students with Disabilities","*","*"
"23 - 24 School Year","SAT","63","Oakland Schools","63150","Troy School District","08286","Troy College and Career High School","63","Oakland","LEA School","Middle_High School","City: Small","Oakland Region","5","11","EBRW","Two or More Races","Not English Learners","*","*"
"23 - 24 School Year","SAT","63","Oakland Schools","63150","Troy School District","08286","Troy College and Career High School","63","Oakland","LEA School","Middle_High School","City: Small","Oakland Region","5","11","EBRW","Asian","Not English Learners","*","*"
"23 - 24 School Year","SAT","63","Oakland Schools","63150","Troy School District","08286","Troy College and Career High School","63","Oakland","LEA School","Middle_High School","City: Small","Oakland Region","5","11","EBRW","Hispanic","Students without IEP","*","*"
"23 - 24 School Year","SAT","63","Oakland Schools","63150","Troy School District","08286","Troy College and Career High School","63","Oakland","LEA School","Middle_High School","City: Small","Oakland Region","5","11","EBRW","Hispanic","Not English Learners","*","*"
"23 - 24 School Year","SAT","63","Oakland Schools","63150","Troy School District","08286","Troy College and Career High School","63","Oakland","LEA School","Middle_High School","City: Small","Oakland Region","5","11","EBRW","White, not of Hispanic origin","Male",">=50%","<=50%"
"23 - 24 School Year","SAT","63","Oakland Schools","63150","Troy School District","08286","Troy College and Career High School","63","Oakland","LEA School","Middle_High School","City: Small","Oakland Region","5","11","EBRW","White, not of Hispanic origin","Female",">=50%","<=50%"
"23 - 24 School Year","SAT","63","Oakland Schools","63150","Troy School District","08286","Troy College and Career High School","63","Oakland","LEA School","Middle_High School","City: Small","Oakland Region","5","11","EBRW","Asian","Male","*","*"
"23 - 24 School Year","SAT","63","Oakland Schools","63150","Troy School District","08286","Troy College and Career High School","63","Oakland","LEA School","Middle_High School","City: Small","Oakland Region","5","11","EBRW","Hispanic","Male","*","*"
"23 - 24 School Year","SAT","63","Oakland Schools","63150","Troy School District","08286","Troy College and Career High School","63","Oakland","LEA School","Middle_High School","City: Small","Oakland Region","5","11","EBRW","Asian","Female","*","*"
"23 - 24 School Year","SAT","63","Oakland Schools","63150","Troy School District","08286","Troy College and Career High School","63","Oakland","LEA School","Middle_High School","City: Small","Oakland Region","5","11","EBRW","Hispanic","Female","*","*"
